Standard;0.3;10.1;0.03;34.902;72.216;0.0;514;124;620;0;100.0;0
Standard;;;;41.791;118.14;0.0;848;1044;166;0;100.0;0
Standard;0.4;7.5;0.053;39.839;67.796;0.0;435;133;613;0;100.0;0
Standard;;;;48.794;150.459;0.0;827;1729;65;0;100.0;0
Standard;0.6;5.0;0.12;46.556;60.62;0.0;358;125;573;0;100.0;0
Standard;;;;48.909;146.383;0.0;824;1660;66;0;100.0;0
Standard;1.0;2.5;0.4;56.028;45.293;8.0;238;23;528;0;92.0;0
Standard;1.0;2.5;0.4;56.028;45.293;8.0;238;23;528;0;92.0;0
Standard;1.0;1.1;0.909;64.007;37.887;8.0;390;33;237;0;92.0;0
Standard;1.0;1.1;0.909;64.007;37.887;8.0;390;33;237;0;92.0;0
