Sphinx Bi-Gram;10.5;0.7;15.0;0.0;0.0;0.0;0;0;0;0;100.0;0
Google Phoneme FlatTri-Gram;1.9;5.0;0.38;85.246;15.574;44.828;15;1;3;0;55.172;275
