Standard;;;;75.0;25.0;0.0;1;0;0;0;100.0;0
Standard;0.5;8.0;0.063;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;;;;75.0;25.0;0.0;1;0;0;0;100.0;0
Standard;0.5;0.0;9.223372036854776E15;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;;;;75.0;25.0;0.0;1;0;0;0;100.0;0
Standard;0.5;10.0;0.05;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;;;;75.0;25.0;0.0;1;0;0;0;100.0;0
Standard;0.5;1.0;0.5;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;;;;75.0;25.0;0.0;1;0;0;0;100.0;0
Standard;0.5;9.0;0.056;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;;;;75.0;25.0;0.0;1;0;0;0;100.0;0
Standard;0.5;5.0;0.1;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;;;;75.0;25.0;0.0;1;0;0;0;100.0;0
Standard;0.5;4.0;0.125;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;;;;75.0;25.0;0.0;1;0;0;0;100.0;0
Standard;0.5;6.0;0.083;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;;;;75.0;25.0;0.0;1;0;0;0;100.0;0
Standard;0.5;3.0;0.167;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;;;;75.0;25.0;0.0;1;0;0;0;100.0;0
Standard;0.5;2.0;0.25;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;;;;75.0;25.0;0.0;1;0;0;0;100.0;0
Standard;0.5;7.0;0.071;100.0;50.0;0.0;0;2;0;0;100.0;0
