Standard;0.45;10.0;0.045;25.486;79.183;0.0;156;24;227;0;100.0;0
Standard;0.1;10.2;0.01;27.821;93.58;0.0;276;110;95;0;100.0;0
Standard;0.65;7.5;0.087;29.377;72.957;3.297;99;12;264;0;96.703;0
Standard;;;;39.494;181.128;0.0;285;620;26;0;100.0;0
Standard;0.8;5.0;0.16;42.412;59.728;12.088;85;11;211;0;87.912;0
Standard;0.75;5.0;0.15;42.802;59.922;10.989;87;14;207;0;89.011;0
Standard;1.15;2.5;0.46;50.0;51.167;15.385;62;6;195;0;84.615;0
Standard;0.55;2.5;0.22;50.195;55.253;9.89;132;28;124;0;90.11;0
Standard;0.95;0.6;1.583;56.809;44.163;21.978;85;5;137;0;78.022;0
Standard;0.7;1.1;0.636;57.977;46.498;18.681;113;23;103;0;81.319;0
